Country ID,Country Code,Country Name,Region ID,Region Name,Income Group ID,Income Group Name,Income Group Acronym,Managing Agency ID,Managing Agency Acronym,Managing Agency Name,Managing Sub-agency or Bureau ID,Managing Sub-agency or Bureau Acronym,Managing Sub-agency or Bureau Name,Implementing Partner Category ID,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Sub-category Name,Implementing Partner ID,Implementing Partner Name,International Category ID,International Category Name,International Sector Code,International Sector Name,International Purpose Code,International Purpose Name,US Category ID,US Category Name,US Sector ID,US Sector Name,Submission ID,Funding Acount ID,Funding Account Name,Funding Agency ID,Funding Agency Name,Funding Agency Acronym,Foreign Assistance Objective ID,Foreign Assistance Objective Name,Aid Type Group ID,Aid Type Group Name,Activity ID,Activity Name,Activity Description,Activity Project Number,Activity Start Date,Activity End Date,Transaction Type ID,Transaction Type Name,Fiscal Year,Current Dollar Amount,Constant Dollar Amount
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - Non United States,20,3990007,Enterprise - Non United States Other,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,203165,"Family Focused HIV Prevention, Care And Treatment Services In Oromia Region Implemented By Integrated Service On Health And Development Organization","Family Focused HIV Prevention, Care And Treatment Services In Oromia Region Implemented By Integrated Service On Health And Development Organization",72066320CA00013,,2023-08-11,2,Obligations,2021,1658134,1855256
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,7,Multilateral,Multilateral - United Nations,12,3990216,Multilateral - United Nations Organization Redacted,2,Health and Population,130,"Maternal and Child Health, Family Planning",13020,Reproductive health care,3,Health,16,Maternal and Child Health,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,155740,WHO: Polio & Immunizations (Health and Emergency Response Support),"This grant supports activities implemented through WHO country, regional and headquarter offices in support of polio eradication in the context of strengthening immunization and disease control programs. The grant supports USAIDs five-part polio eradication strategy: 1) Partnerships between all interested public and private sector parties; 2) Routine immunization and immunization systems: cold chain; 3) refurbishment/management; 4) Logistics, vaccine forecasting, planning and budgeting at the district; and 5) national levels. Supplemental immunization, operational support to National ImmunizationDays, social mobilization, house-to-house mop upimmunization; Surveillance and case detection for AFP and other reportable diseases;and Information feedback and use.",AID-AAG-G-00-97-00019,1996-09-18,2023-09-30,2,Obligations,2021,1600000,1790211
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - United States,19,4000669,"Chemonics International, Inc.",2,Health and Population,130,"Maternal and Child Health, Family Planning",13020,Reproductive health care,3,Health,16,Maternal and Child Health,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,195210,Global Health Supply Chain - Procurement and Supply Management (GHSC-PSM) - Maternal and Child Health Task Order 4,"The purpose of this Task Order is to: Improve the provision of quality-assured health commodities through global commodity procurement and logistics. Provide technical assistance focused on systems strengthening to improve country supply chain and increase commodity security. Improve coordination among global Maternal and Child Health (MCH) and supply chain stakeholders to strengthen the collective response to maternal, newborn, and child health related programs.",AID-OAA-TO-16-00018,2015-04-15,2026-11-28,2,Obligations,2021,1250000,1398602
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,8,Enterprises,Enterprises - Non United States,20,3990007,Enterprise - Non United States Other,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,203284,"HIV Prevention, Testing And Treatment Services For Key Populations  Amhara Region","HIV Prevention, Testing And Treatment Services For Key Populations  Amhara Region",72066320CA00011,,2023-08-11,2,Obligations,2021,1189030,1330384
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,3,NGO,NGO - Non United States,7,4010834,Network of Networks of HIV Positives in Ethiopia,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,47,Health - General,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,43944,"GH17-1747.NU2G Peer-to-Peer Support for ART adherence, Retention in Care, Linka",Grants,NU2GGH002039,2017-04-01,2022-09-29,2,Obligations,2021,1148839,1285415
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - Non United States,2,2000051,Government of Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47142,"Strengthening Federal Ministry of Health Capabilities in Technical Assistance for Service Delivery and Execution of Core Public Health Functions to Achieve and Sustain HIV Epidemic Control in Ethiopia, under PEPFAR - 2020",Grants,NU2GGH002236,,2025-09-29,2,Obligations,2021,1085644,1214707
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,1,Government,Government - United States,1,1000007,U.S. Government - Department of Health and Human Services,2,Health and Population,121,"Health, General",12110,Health policy and administrative management,3,Health,47,Health - General,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,47527,U.S. Centers for Disease Control and Prevention: Other Administrative Costs,U.S. Centers for Disease Control and Prevention: Other Administrative Costs,,,,2,Obligations,2021,1061483,1187671
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,7,Multilateral,Multilateral - United Nations,12,4003806,United Nations Office for Project Services,2,Health and Population,122,Basic Health,12263,Tuberculosis control,3,Health,12,Tuberculosis,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,204321,UNOPS Stop TB Partnership,To enhance the capacity of the health system to respond efficiently to community transmission of COVID-19 while protecting health workers and vulnerable groups and ensuring the delivery of COVID-19 related health services through strengthening: national screening and laboratory capacity; case management; and infection prevention and control measures.,AID-GH-IO-15-00002,2015-02-03,2025-02-02,2,Obligations,2021,1000000,1118882
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,1,USAID,U.S. Agency for International Development,19,AFR,Bureau for Africa,3,NGO,NGO - United States,5,4000555,"JSI Research & Training Institute, Inc.",2,Health and Population,122,Basic Health,12262,Malaria control,3,Health,13,Malaria,76,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,201059,Digital Health Activity,Digital Health Activity contract to provide support services and technical assistance to the Government of Ethiopia in the Health Information system and data use to improve Health Outcomes.,72066320D00001,,2025-10-10,2,Obligations,2021,1000000,1118882
231,ETH,Ethiopia,5,Sub-Saharan Africa,1,Low Income Country,LIC,6,HHS,Department of Health and Human Services,10,CDC,Centers for Disease Control and Prevention,3,NGO,NGO - Non United States,7,4010834,Network of Networks of HIV Positives in Ethiopia,2,Health and Population,134,HIV/AIDS,13040,STD control including HIV/AIDS,3,Health,11,HIV/AIDS,34,19x1031,"Department of State, Global Health Programs",2,Department of State,STATE,1,Economic,3,Project-Type,46886,"Peer-to-Peer Support for ART Adherence, Retention in Care, Linkage to Comprehensive HIV Services and Linkage of PLHIV Families and Contacts to HIV Testing Services in the Federal Democratic Republic of Ethiopia under PEPFAR - 2017",Grants,NU2GGH002039,2017-04-01,2022-09-29,2,Obligations,2021,988368,1105867
